rank,uid,username,type
1,5729200,畏光゛,总督
2,3493294526958393,萝卜の恦月,提督
3,11012736,芝麻夹心小汤圆,提督
4,677668473,萝哥の现亦,提督
5,152425867,戳的人是坏蛋,提督
6,327958100,永夜大公爵,提督
7,424384495,雪白の假期,提督
8,249594967,守护被萝宝尿湿的床单,舰长
9,19349978,鸿梧S,舰长
10,2841191,阳光Official,舰长
11,367346953,洛天启I黑星,舰长
12,65141013,落鹿星,舰长
13,34157994,爱学习的萌新白,舰长
14,36132907,猫鳄霸,舰长
15,457009121,一只幻云吖,舰长
16,509846987,枫浅沐熙,舰长
17,290798377,萝树叶,舰长
18,33099690,宇宙蟹bro,舰长
19,35505931,无是吾,舰长
20,2291936,猫耳克拉里昂,舰长
21,3546385548839558,镜子丶星星,舰长
22,1699721,妖怪山现人神,舰长
23,39014561,YUME・夢,舰长
24,12865480,柴乐慕,舰长
25,85628300,千手扉间-office,舰长
26,484156,欧卡尼亚,舰长
27,456839656,凌冬寒九,舰长
28,536091406,星非洲辰,舰长
29,384250971,萝宝的骑士长狗狗,舰长
30,106797737,yameito,舰长
31,9654880,啾啾啊他糊了他糊了,舰长
32,38741820,霜月莹墨梅,舰长
33,16174561,凯哥的小菊,舰长
34,85336298,夏天型地暖,舰长
35,5240206,古明地小污,舰长
36,359936819,眠眠骑萝宝,舰长
37,341044448,晴_雨_天,舰长
38,452182553,一条咸化鲨鱼,舰长
39,1249276775,wajysys1,舰长
40,24239231,黑子冥月,舰长
41,437016169,位渊意志,舰长
42,23235335,韩沐渚,舰长
43,348673625,w歪比w巴卜w,舰长
44,438602069,-无声铃鹿---,舰长
45,19006229,鄙人姓馋名猫,舰长
46,134821376,稽泥胎煤,舰长
47,437490940,养马糕手-,舰长
48,164870864,大号橙子e,舰长
49,363857729,玉咩咩碳,舰长
50,15714428,十三加载Aix,舰长
51,85397751,桐桐不会星爆,舰长
52,2206033,田居小铃,舰长
53,10064936,沫寒z,舰长
54,1017883714,啊假老练,舰长
55,480496530,思路僵硬,舰长
56,28523110,伏特加啡,舰长
57,1942864208,卡萝尔Akuma,舰长
58,363297560,乙坂奈绪,舰长
59,1794356398,Dljy渃尘,舰长
60,177736688,闻艺wy,舰长
61,21798828,是大野猫,舰长
62,48235416,铎米Domi,舰长
63,447525381,MNI俗D,舰长
64,3493132599560495,狸狸Kori,舰长
65,1862168457,不要去抱怨,舰长
66,58960704,繁荣星系不是繁星,舰长
67,66952897,秋风阿柒,舰长
68,3546380507286392,冬日泛瓷曲,舰长
69,486619061,态度是态度,舰长
70,4272402,默戀孤寂,舰长
71,628854880,伊卡洛斯end,舰长
72,100918897,化无化,舰长
73,189598054,i珂i,舰长
74,400156390,AL-WOWS屑指挥官,舰长
75,333508638,Rick783,舰长
76,1695619600,阳气四射,舰长
77,17453943,真麦克斯,舰长
78,1182022288,月玄丶,舰长
79,2021813,憨咸玉,舰长
80,17220732,立花chitose,舰长
81,2105847908,韩沐蛛蛛,舰长
82,383874345,非酋特大号-,舰长
83,1500544767,卡萝尔的dog云夜,舰长
84,3546569880111337,日常摸鱼的寺锦月,舰长
85,249454154,白羽落鹰,舰长
86,3546393505433751,爱情是糖捏,舰长
87,287060847,钢板侠灬月哥,舰长
88,397842256,萝哥叫我卡黎,舰长
89,498763050,黛拉的北辰,舰长
90,11393326,CKylin_小凌,舰长
91,397045566,十六夜咲夜づ,舰长
92,18541981,zxns,舰长
93,1108801040,墨翊w,舰长
94,355285070,七宫只因不气馁,舰长
95,490788104,陌笙浣,舰长
96,501191565,可甜可盐的白墨,舰长
97,38008610,番茄酱牛腩面w,舰长
98,2233105,鉉,舰长
99,3493104277522992,希凌Hikari_Channel,舰长
100,321650277,凤小七seven,舰长
101,1206455597,一无ydsg,舰长
102,359561064,不会星爆的桐桐,舰长
103,1307168639,粽夕兮,舰长
104,525225325,wsshys,舰长
105,1145384664,初白有雪-伴眠不觉,舰长
106,18664062,不安分的跳蚤,舰长
107,679768080,阿斯巴眠,舰长
108,452756567,小坂棂_kusuri,舰长
109,7787232,幽暗林间_Kanzaki,舰长
110,201298,招魂幡少年,舰长
111,2118208740,枫花_风叶,舰长
112,3461571000928804,野生的茶壶,舰长
113,3546556928101208,bili78194516,舰长
114,169529753,咸鱼本鱼111,舰长
115,591355861,小小空洞骑士,舰长
116,509744872,阳阳の修猫,舰长
117,3494377236204054,一棵弱柳,舰长
118,360125296,烨at_w,舰长
119,6186160,莎拉维爾,舰长
120,1467541536,星光闪烁的深海,舰长
121,3546589616409079,yume坐等恐怖回,舰长
122,514316007,青尘_康威,舰长
123,297117633,6个阿卡林,舰长
124,431093986,白色沙糖桔,舰长
125,3493284041197799,茶柳怜怜Chronus,舰长
126,1664574075,相信海绵宝宝,舰长
127,503492188,汤圆四水,舰长
128,435390354,漪沂i,舰长
129,311289224,mvqd7634,舰长
130,296398743,筱正哟,舰长
