rank,uid,username,type
1,519274401,CL_LuckyE,提督
2,9174916,飞翔的皮神灬天空版,提督
3,5729200,畏光゛,舰长
4,3493294526958393,萝宝宝の月月,舰长
5,11965818,膏青木马,舰长
6,9189063,缺德金毛,舰长
7,34157994,爱学习的萌新白面包,舰长
8,367346953,洛天启I黑星,舰长
9,79963241,cube_miku,舰长
10,677668473,萝哥の现亦,舰长
11,424384495,傲罗の假期,舰长
12,36132907,猫鳄霸,舰长
13,452182553,一条咸化鲨鱼,舰长
14,60461156,-我-永远喜欢爱莉希雅,舰长
15,11933095,靑鋆子,舰长
16,484156,欧卡尼亚,舰长
17,456839656,凌冬寒九,舰长
18,573508245,鸢桦aky,舰长
19,437490940,养马糕手-,舰长
20,189598054,i珂i,舰长
21,1512279910,我是路痴qwq,舰长
22,509846987,枫浅沐熙,舰长
23,264489711,北极星夜,舰长
24,32957306,monky_kon,舰长
25,1695619600,阳气四射,舰长
26,13313146,御坂スティーブ,舰长
27,650902976,星辰落缨,舰长
28,152425867,戳戳是坏蛋,舰长
29,1789334557,浅川舍人,舰长
30,106797737,yameito,舰长
31,3546393505433751,爱情是糖捏,舰长
32,363857729,玉咩咩碳,舰长
33,591355861,小小空洞骑士,舰长
34,4738109,绯樱_-,舰长
35,501191565,白墨猛的一批,舰长
36,363297560,乙坂奈绪,舰长
37,15201741,炼金师的炼习作,舰长
38,30683849,风凌碧落,舰长
39,3546669796821037,何处梦清秋,舰长
40,352634648,登deng等瞪_5-22,舰长
41,137309469,小N我的超人,舰长
42,359936819,眠眠骑萝宝2号,舰长
43,1500544767,你云夜能有什么坏心思,舰长
44,1610659549,皮皮小八,舰长
45,11398089,一里Bocchi酱,舰长
46,494671967,故寓诸无竟,舰长
47,3461576619199229,绪山洛,舰长
48,528746345,k4ksaw,舰长
49,1356196765,徐泽魈杨,舰长
50,1169667370,北涯先生,舰长
51,348673625,w歪比w巴卜w,舰长
52,33380498,SAT竹唤夏,舰长
53,343836607,二零237,舰长
54,173903164,番薯是不会去学习的,舰长
55,347897700,水晶冥,舰长
56,505800931,清氵连,舰长
57,3706948945971456,白梓琳白梓琳,舰长
58,297704428,我就想要咕咕咕咕咕,舰长
59,1440752106,春风共作狮子鸣-,舰长
60,8558920,一天九杯奶茶的Master,舰长
61,477256009,嘟肥嘟嘟,舰长
62,401601766,孑孓排骨汤,舰长
63,3546980712188599,太阳又坠机了,舰长
64,33056284,枯红山海棠,舰长
65,1345922535,我叫睡神老许,舰长
66,3546645459372400,money_for,舰长
67,233645397,蘇軒然,舰长
68,310932764,听歌伊人-龟眠糖,舰长
69,30840134,冒菜只吃番茄锅,舰长
70,24750446,眠眠子不困,舰长
71,3546915971008552,芝士的无言,舰长
72,240366288,澪依忻,舰长
73,385307665,全世界唯一孤寡,舰长
74,291320395,蒲川邱库,舰长
75,397842256,心理委员哈基黎明,舰长
76,16611962,哈撒孤独,舰长
77,1811650231,墨砌文香,舰长
78,3461582558333746,忘年忽念,舰长
79,3493271506520774,小缘故梦,舰长
80,39820524,牵丝喵neco,舰长
81,2141117570,万万灵,舰长
82,535542637,ulsmallzhou,舰长
83,666960177,三千红丝缘何处,舰长
84,405983824,金沙曼华,舰长
85,897992,苏京一片雪白,舰长
86,1644120950,清莱ovo,舰长
87,14788413,1淡淡,舰长
88,488010195,无敌猫猫猫猫猫头,舰长
89,515187863,六个硬币冲冲冲,舰长
90,5139802,Q丶Q紫枫,舰长
91,1777382674,泠爱云,舰长
92,391550493,不纯少年qk,舰长
93,4112218,巧羽无双,舰长
94,1247034610,永夜_余音,舰长
95,310597090,浅音早饭雅,舰长
96,14357432,引魂入梦--,舰长
97,3494365253077325,Death汪,舰长
98,18526145,陈年老拉菲,舰长
99,259474329,蜘蛛女神白織,舰长
100,3706949417831092,_我讨厌所有人_,舰长
101,426228455,玄非_,舰长
102,2097183,就叫可乐吧ヤ,舰长
103,66689820,嵢漓,舰长
104,4966834,Jill是鸽子,舰长
105,1794853552,能源层指定司书,舰长
106,335336916,wdf亡者,舰长
107,487944808,赛博猴御医,舰长
108,1665971292,白泽--星神版,舰长
109,1415676595,会小卡拉米,舰长
110,6838639,一见钟情528,舰长
111,13841873,草人艺术馆,舰长
112,692424477,0零遴,舰长
113,372707324,最爱药渣炖萝卜,舰长
114,386636970,折仙i,舰长
115,16617330,无言silence,舰长
116,31299165,爱瞎玩的蛋蛋,舰长
117,1942327076,晦明如暗,舰长
118,38161805,倒头就睡的萧同学,舰长
119,15983872,夏娜521,舰长
120,448207158,怮哭的魑魅魍魉,舰长
121,323622769,升宇笙,舰长
122,3706971360332301,别再潇洒了,舰长
123,402083485,摆烂的小lon包,舰长
124,39338622,传人还是传人,舰长
125,156736451,草丛中的小坑比,舰长
126,433230333,彩色激光,舰长
127,402794306,雷菲尔德,舰长
128,3546759229868162,语栀-_,舰长
129,3546581875821346,蕗茜菲尔,舰长
